player_id,player_name,team_id,team_name,league,level,position,age,games,plate_appearances,at_bats,hits,runs,doubles,triples,home_runs,rbi,walks,strikeouts,avg,obp,slg,ops,stolen_bases,caught_stealing,babip,total_bases,pa,k_rate,bb_rate,iso,sample_size
703158,Jonathan Mejía,279,Palm Beach Cardinals,FSL,A,SS,21,76,321,255,56,45,10,3,12,53,59,88,.220,.368,.424,.792,9,6,.277,108,321,0.27414330218068533,0.1838006230529595,0.204,Large
842711,Owen Henne,279,Palm Beach Cardinals,FSL,A,2B,21,16,67,55,12,13,4,0,4,15,9,11,.218,.358,.509,.867,1,0,.200,28,67,0.16417910447761194,0.13432835820895522,0.29100000000000004,Moderate
823651,J.P. Cabrera,279,Palm Beach Cardinals,FSL,A,C,19,25,100,89,19,14,6,0,1,13,7,22,.213,.278,.315,.593,1,0,.273,28,100,0.22,0.07,0.10200000000000001,Large
812430,Heriberto Caraballo,279,Palm Beach Cardinals,FSL,A,1B,21,46,179,151,32,26,2,1,5,17,20,45,.212,.324,.338,.662,1,3,.262,51,179,0.25139664804469275,0.11173184357541899,0.12600000000000003,Large
800840,Chase Heath,279,Palm Beach Cardinals,FSL,A,C,22,72,294,257,52,32,13,0,6,29,31,71,.202,.299,.323,.622,6,4,.254,83,294,0.24149659863945577,0.1054421768707483,0.121,Large
700720,Luis Pino,279,Palm Beach Cardinals,FSL,A,RF,22,18,64,56,11,9,3,0,0,5,4,24,.196,.270,.250,.520,2,2,.333,14,64,0.375,0.0625,0.05399999999999999,Moderate
802469,Travis Honeyman,279,Palm Beach Cardinals,FSL,A,LF,24,8,33,26,5,4,1,0,1,2,4,5,.192,.364,.346,.710,1,1,.200,9,33,0.15151515151515152,0.12121212121212122,0.15399999999999997,Small
802353,Christian Martin,279,Palm Beach Cardinals,FSL,A,3B,23,21,84,64,12,11,4,1,0,5,19,8,.188,.369,.281,.650,4,3,.211,18,84,0.09523809523809523,0.2261904761904762,0.09300000000000003,Moderate
801130,Alex Birge,279,Palm Beach Cardinals,FSL,A,C,23,44,176,149,26,24,6,1,4,30,21,66,.174,.301,.309,.610,3,1,.278,46,176,0.375,0.11931818181818182,0.135,Large
808278,Facundo Velásquez,279,Palm Beach Cardinals,FSL,A,LF,20,20,73,63,10,9,2,1,3,11,10,31,.159,.274,.365,.639,2,3,.241,23,73,0.4246575342465753,0.136986301369863,0.206,Moderate
806131,Dee Kennedy,279,Palm Beach Cardinals,FSL,A,2B,21,21,92,77,11,12,2,0,1,5,13,20,.143,.283,.208,.491,6,1,.179,16,92,0.21739130434782608,0.14130434782608695,0.065,Moderate
834989,Kaden Echeman,279,Palm Beach Cardinals,FSL,A,P,23,31,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,.---,0,0,,,0.0,Very small
811765,Deniel Ortiz,279,Palm Beach Cardinals,FSL,A,3B,21,4,20,12,0,3,0,0,0,1,5,5,.000,.400,.000,.400,3,0,.000,0,20,0.25,0.25,0.0,Very small
690914,Brody Moore,440,Springfield Cardinals,TEX,AA,SS,25,23,95,88,34,17,5,0,2,12,5,14,.386,.411,.511,.922,8,0,.432,45,95,0.14736842105263157,0.05263157894736842,0.125,Moderate
801629,Cade McGee,440,Springfield Cardinals,TEX,AA,2B,23,10,42,36,12,10,2,1,3,7,6,8,.333,.429,.694,1.123,1,0,.360,25,42,0.19047619047619047,0.14285714285714285,0.36099999999999993,Small
823787,Rainiel Rodriguez,440,Springfield Cardinals,TEX,AA,C,19,87,402,345,113,74,22,0,23,66,41,77,.328,.408,.591,.999,7,6,.359,204,402,0.19154228855721392,0.10199004975124377,0.26299999999999996,Large
692446,Miguel Villarroel,440,Springfield Cardinals,TEX,AA,3B,24,12,46,43,14,8,1,1,1,4,3,13,.326,.370,.465,.835,3,0,.448,20,46,0.2826086956521739,0.06521739130434782,0.139,Small
806191,Tai Peete,440,Springfield Cardinals,TEX,AA,CF,20,21,100,94,30,24,5,1,3,16,6,23,.319,.360,.489,.849,4,2,.397,46,100,0.23,0.06,0.16999999999999998,Large
800305,Jesús  Báez,440,Springfield Cardinals,TEX,AA,SS,21,59,257,234,74,48,10,0,25,68,10,41,.316,.354,.679,1.033,3,2,.282,159,257,0.15953307392996108,0.038910505836575876,0.36300000000000004,Large
814413,Ian Petrutz,440,Springfield Cardinals,TEX,AA,LF,23,7,27,27,8,4,1,1,2,11,0,6,.296,.296,.630,.926,0,0,.316,17,27,0.2222222222222222,0.0,0.334,Small
802469,Travis Honeyman,440,Springfield Cardinals,TEX,AA,RF,24,71,296,256,72,50,5,2,8,30,33,49,.281,.375,.410,.785,25,5,.320,105,296,0.16554054054054054,0.11148648648648649,0.12899999999999995,Large
811765,Deniel Ortiz,440,Springfield Cardinals,TEX,AA,3B,21,62,266,215,60,37,12,0,10,41,40,49,.279,.392,.474,.866,9,4,.309,102,266,0.18421052631578946,0.15037593984962405,0.19499999999999995,Large
702331,Noah Mendlinger,440,Springfield Cardinals,TEX,AA,2B,25,43,199,159,44,25,10,0,2,26,32,18,.277,.402,.377,.779,2,4,.294,60,199,0.09045226130653267,0.16080402010050251,0.09999999999999998,Large
692390,Jose Cordoba,440,Springfield Cardinals,TEX,AA,RF,23,9,36,33,9,8,1,0,4,7,2,6,.273,.314,.667,.981,2,0,.217,22,36,0.16666666666666666,0.05555555555555555,0.394,Small
800231,Won-Bin Cho,440,Springfield Cardinals,TEX,AA,RF,22,54,221,184,50,34,9,0,12,35,35,45,.272,.389,.516,.905,7,3,.297,95,221,0.20361990950226244,0.1583710407239819,0.244,Large
693832,Tre Richardson III,440,Springfield Cardinals,TEX,AA,2B,24,59,241,212,57,48,10,0,8,24,27,61,.269,.357,.429,.786,22,2,.343,91,241,0.25311203319502074,0.11203319502074689,0.15999999999999998,Large
701481,Ryan Campos,440,Springfield Cardinals,TEX,AA,C,23,111,477,394,102,69,19,0,12,60,69,111,.259,.379,.398,.777,17,2,.327,157,477,0.23270440251572327,0.14465408805031446,0.139,Large
813668,Jack Gurevitch,440,Springfield Cardinals,TEX,AA,1B,22,32,141,132,34,20,5,0,9,25,5,55,.258,.298,.500,.798,0,1,.362,66,141,0.3900709219858156,0.03546099290780142,0.242,Large
703766,Dakota Harris,440,Springfield Cardinals,TEX,AA,3B,24,100,394,343,87,58,13,2,12,61,43,82,.254,.341,.408,.749,28,3,.298,140,394,0.20812182741116753,0.10913705583756345,0.15399999999999997,Large
800840,Chase Heath,440,Springfield Cardinals,TEX,AA,DH,22,6,21,20,5,2,0,0,0,0,1,7,.250,.286,.250,.536,1,0,.385,5,21,0.3333333333333333,0.047619047619047616,0.0,Very small
692405,Jeremy Rivas,440,Springfield Cardinals,TEX,AA,SS,23,37,143,122,30,20,5,0,5,22,16,31,.246,.343,.410,.753,11,1,.284,50,143,0.21678321678321677,0.11188811188811189,0.16399999999999998,Large
822501,Jon Jon Gazdar,440,Springfield Cardinals,TEX,AA,2B,24,91,398,333,80,48,13,0,8,45,44,50,.240,.348,.351,.699,13,0,.256,117,398,0.12562814070351758,0.11055276381909548,0.11099999999999999,Large
828824,Josiah Ragsdale,440,Springfield Cardinals,TEX,AA,CF,22,30,141,117,28,25,4,1,5,14,19,36,.239,.355,.419,.774,6,0,.295,49,141,0.2553191489361702,0.1347517730496454,0.18,Large
690971,Chase Davis,440,Springfield Cardinals,TEX,AA,CF,24,37,156,130,30,24,4,0,8,24,26,38,.231,.359,.446,.805,9,1,.262,58,156,0.24358974358974358,0.16666666666666666,0.215,Large
692568,Miguel Ugueto,440,Springfield Cardinals,TEX,AA,CF,23,78,334,306,69,43,20,3,5,37,15,66,.225,.278,.359,.637,24,6,.268,110,334,0.19760479041916168,0.04491017964071856,0.13399999999999998,Large
804241,Zach Levenson,440,Springfield Cardinals,TEX,AA,LF,24,86,343,291,64,39,15,0,11,41,44,88,.220,.330,.385,.715,3,2,.273,112,343,0.2565597667638484,0.1282798833819242,0.165,Large
