player_id,player_name,team_id,team_name,season,league,level,position,age,games,plate_appearances,at_bats,hits,runs,doubles,triples,home_runs,rbi,walks,strikeouts,avg,obp,slg,ops,stolen_bases,caught_stealing,babip,total_bases,pa,k_rate,bb_rate,iso,sample_size
690443,Mike Antico,235,Memphis Redbirds,2026,INT,AAA,LF,28,6,22,20,1,1,1,0,0,0,2,8,0.05,.136,0.1,.236,0,0,.083,2,22,0.36363636363636365,0.09090909090909091,0.05,Very small
693832,Tre Richardson III,443,Peoria Chiefs,2026,MID,A+,2B,24,31,122,104,36,33,5,1,11,31,15,35,0.346,.434,0.731,1.165,12,1,.424,76,122,0.28688524590163933,0.12295081967213115,0.385,Large
823787,Rainiel Rodriguez,443,Peoria Chiefs,2026,MID,A+,C,19,28,128,106,33,23,8,1,4,21,19,24,0.311,.430,0.519,.949,4,1,.372,55,128,0.1875,0.1484375,0.20800000000000002,Large
692446,Miguel Villarroel,443,Peoria Chiefs,2026,MID,A+,2B,24,17,68,58,18,12,3,0,2,14,8,19,0.31,.412,0.466,.878,4,2,.432,27,68,0.27941176470588236,0.11764705882352941,0.15600000000000003,Moderate
813668,Jack Gurevitch,443,Peoria Chiefs,2026,MID,A+,1B,22,59,273,242,73,41,11,1,17,43,24,75,0.302,.375,0.566,.941,7,2,.371,137,273,0.27472527472527475,0.08791208791208792,0.26399999999999996,Large
806191,Tai Peete,443,Peoria Chiefs,2026,MID,A+,CF,20,42,200,180,54,37,14,6,10,39,20,57,0.3,.370,0.611,.981,11,6,.389,110,200,0.285,0.1,0.311,Large
803679,Sammy Hernandez,443,Peoria Chiefs,2026,MID,A+,C,22,65,253,204,57,38,18,0,11,35,43,47,0.279,.411,0.529,.940,21,5,.311,108,253,0.1857707509881423,0.16996047430830039,0.25,Large
814413,Ian Petrutz,443,Peoria Chiefs,2026,MID,A+,LF,23,51,207,180,50,35,12,1,4,29,16,31,0.278,.355,0.422,.777,8,5,.315,76,207,0.1497584541062802,0.07729468599033816,0.14399999999999996,Large
800231,Won-Bin Cho,443,Peoria Chiefs,2026,MID,A+,CF,22,56,233,193,52,37,14,2,8,39,37,58,0.269,.395,0.487,.882,23,6,.346,94,233,0.24892703862660945,0.15879828326180256,0.21799999999999997,Large
829670,Brayden Smith,443,Peoria Chiefs,2026,MID,A+,2B,22,24,101,92,24,13,7,1,3,10,8,33,0.261,.327,0.457,.784,4,2,.375,42,101,0.32673267326732675,0.07920792079207921,0.196,Large
699027,José Suárez,443,Peoria Chiefs,2026,MID,A+,RF,21,95,391,360,93,52,21,2,10,47,19,122,0.258,.309,0.411,.720,26,6,.359,148,391,0.31202046035805625,0.04859335038363171,0.15299999999999997,Large
811339,Josh Kross,443,Peoria Chiefs,2026,MID,A+,1B,23,86,375,329,83,53,18,2,13,38,41,94,0.252,.341,0.438,.779,0,0,.314,144,375,0.25066666666666665,0.10933333333333334,0.186,Large
703602,Jalin Flores,443,Peoria Chiefs,2026,MID,A+,SS,22,113,492,447,112,69,27,4,17,84,31,133,0.251,.309,0.443,.752,7,2,.315,198,492,0.2703252032520325,0.06300813008130081,0.192,Large
800266,Yordalin Peña,443,Peoria Chiefs,2026,MID,A+,CF,21,19,77,72,18,12,6,0,4,9,3,25,0.25,.299,0.5,.799,2,1,.326,36,77,0.3246753246753247,0.03896103896103896,0.25,Moderate
800305,Jesús  Báez,443,Peoria Chiefs,2026,MID,A+,SS,21,54,243,219,54,38,11,0,14,41,18,39,0.247,.300,0.489,.789,5,3,.234,107,243,0.16049382716049382,0.07407407407407407,0.242,Large
700720,Luis Pino,443,Peoria Chiefs,2026,MID,A+,LF,22,42,165,139,34,23,11,1,4,14,24,39,0.245,.358,0.424,.782,6,1,.309,59,165,0.23636363636363636,0.14545454545454545,0.179,Large
809633,Michael Dattalo,443,Peoria Chiefs,2026,MID,A+,3B,22,50,197,175,41,20,6,0,1,23,14,36,0.234,.310,0.286,.596,1,1,.286,50,197,0.18274111675126903,0.07106598984771574,0.05199999999999996,Large
699031,Anyelo Encarnación,443,Peoria Chiefs,2026,MID,A+,SS,22,70,263,218,51,38,8,2,9,34,37,84,0.234,.354,0.413,.767,18,3,.328,90,263,0.3193916349809886,0.14068441064638784,0.17899999999999996,Large
802353,Christian Martin,443,Peoria Chiefs,2026,MID,A+,LF,23,31,118,100,23,19,5,0,0,6,14,35,0.23,.342,0.28,.622,6,3,.354,28,118,0.2966101694915254,0.11864406779661017,0.05000000000000002,Large
801130,Alex Birge,443,Peoria Chiefs,2026,MID,A+,C,23,7,28,22,5,4,2,0,0,3,5,9,0.227,.357,0.318,.675,2,0,.357,7,28,0.32142857142857145,0.17857142857142858,0.091,Small
801629,Cade McGee,443,Peoria Chiefs,2026,MID,A+,C,23,86,363,291,64,59,16,1,14,44,48,93,0.22,.366,0.426,.792,7,2,.267,124,363,0.256198347107438,0.1322314049586777,0.206,Large
800728,Cameron Nickens,443,Peoria Chiefs,2026,MID,A+,LF,22,42,164,143,31,20,6,0,4,20,16,53,0.217,.299,0.343,.642,3,3,.303,49,164,0.3231707317073171,0.0975609756097561,0.12600000000000003,Large
821299,Caden Ferraro,443,Peoria Chiefs,2026,MID,A+,LF,21,21,85,74,16,8,3,1,3,12,9,19,0.216,.306,0.405,.711,0,1,.245,30,85,0.2235294117647059,0.10588235294117647,0.18900000000000003,Moderate
692390,Jose Cordoba,443,Peoria Chiefs,2026,MID,A+,CF,23,42,156,141,29,16,4,1,1,14,9,35,0.206,.277,0.27,.547,9,2,.267,38,156,0.22435897435897437,0.057692307692307696,0.06400000000000003,Large
824713,Andrew Williamson,443,Peoria Chiefs,2026,MID,A+,DH,20,20,88,74,14,14,2,0,5,14,10,26,0.189,.295,0.419,.714,3,2,.200,31,88,0.29545454545454547,0.11363636363636363,0.22999999999999998,Moderate
805550,Ryan Weingartner,443,Peoria Chiefs,2026,MID,A+,3B,21,15,52,44,8,2,2,0,0,2,8,13,0.182,.308,0.227,.535,3,0,.258,10,52,0.25,0.15384615384615385,0.04500000000000001,Moderate
803124,Tristan Bissetta,443,Peoria Chiefs,2026,MID,A+,RF,23,19,81,72,13,10,3,0,3,12,8,32,0.181,.259,0.347,.606,3,0,.263,25,81,0.3950617283950617,0.09876543209876543,0.16599999999999998,Moderate
821107,Yairo Padilla,443,Peoria Chiefs,2026,MID,A+,SS,19,4,16,14,2,1,0,0,1,1,2,5,0.143,.250,0.357,.607,0,0,.125,5,16,0.3125,0.125,0.214,Very small
812430,Heriberto Caraballo,443,Peoria Chiefs,2026,MID,A+,C,21,3,11,11,1,1,1,0,0,0,0,6,0.091,.091,0.182,.273,0,0,.200,2,11,0.5454545454545454,0.0,0.091,Very small
800840,Chase Heath,443,Peoria Chiefs,2026,MID,A+,C,22,3,13,9,0,0,0,0,0,1,3,2,0.0,.231,0.0,.231,0,0,.000,0,13,0.15384615384615385,0.23076923076923078,0.0,Very small
