player_id,player_name,team_id,team_name,season,league,level,position,age,games,games_started,wins,losses,innings_pitched,hits_allowed,runs_allowed,earned_runs,home_runs_allowed,walks,strikeouts,era,whip,strikeouts_per_9,walks_per_9,hits_per_9,strikeout_walk_ratio,saves,holds,ip_decimal,hr_per_9
815047,Hunter Kublick,279,Palm Beach Cardinals,2025,FSL,A,P,21,11,0,3,0,17.1,25,10,10,1,9,13,5.19,1.96,6.75,4.67,12.98,1.44,0,1,17.333333333333332,0.5192307692307693
824604,Liam Doyle,279,Palm Beach Cardinals,2025,FSL,A,P,21,1,1,0,0,1.2,1,1,1,1,2,3,5.40,1.80,16.20,10.80,5.40,1.50,0,0,1.6666666666666665,5.4
805772,Conor Steinbaugh,279,Palm Beach Cardinals,2025,FSL,A,P,26,11,0,0,2,13.1,11,13,8,1,10,16,5.40,1.58,10.80,6.75,7.43,1.60,1,0,13.333333333333334,0.6749999999999999
701469,Jack Findlay,279,Palm Beach Cardinals,2025,FSL,A,P,22,28,0,2,4,51.1,48,38,31,2,38,56,5.44,1.68,9.82,6.66,8.42,1.47,1,4,51.333333333333336,0.35064935064935066
800277,Yordy Herrera,279,Palm Beach Cardinals,2025,FSL,A,P,20,33,0,8,1,57.1,50,44,36,4,41,68,5.65,1.59,10.67,6.44,7.85,1.66,0,3,57.333333333333336,0.627906976744186
813291,Sam Brodersen,279,Palm Beach Cardinals,2025,FSL,A,P,23,36,0,2,5,45.2,43,38,30,4,39,59,5.91,1.80,11.63,7.69,8.47,1.51,2,3,45.666666666666664,0.7883211678832117
810098,Yadiel Batista,279,Palm Beach Cardinals,2025,FSL,A,P,21,7,0,1,2,27.2,33,20,19,2,14,21,6.18,1.70,6.83,4.55,10.73,1.50,0,1,27.666666666666668,0.6506024096385542
813838,Jacob Odle,279,Palm Beach Cardinals,2025,FSL,A,P,21,13,13,0,5,43.0,39,30,30,1,35,54,6.28,1.72,11.30,7.33,8.16,1.54,0,0,43.0,0.20930232558139533
681450,Angel Cuenca,279,Palm Beach Cardinals,2025,FSL,A,P,23,22,0,1,1,36.0,37,32,27,3,31,33,6.75,1.89,8.25,7.75,9.25,1.06,1,1,36.0,0.75
701308,Ernie Day,279,Palm Beach Cardinals,2025,FSL,A,P,23,17,0,0,2,15.0,14,13,12,0,20,16,7.20,2.27,9.60,12.00,8.40,0.80,0,2,15.0,0.0
