player_id,player_name,team_id,current_level,position,status_code,status_description,parent_team_id
814835,Jaden Alba,279,A,P,A,Active,138
835657,Jake Shelagowski,279,A,P,D60,Injured 60-Day,138
831050,Jan Cabrera,279,A,P,A,Active,138
813488,Jayden Lobliner,279,A,C,A,Active,138
814086,Jefferson Moran,279,A,P,A,Active,138
821276,Jesús García,279,A,P,A,Active,138
800243,Jovi Gálvez,279,A,P,A,Active,138
805505,Justin Militello,279,A,P,A,Active,138
834989,Kaden Echeman,279,A,P,A,Active,138
808138,Keiverson Ramírez,279,A,P,A,Active,138
829077,Kenly Hunter,279,A,OF,A,Active,138
834681,Matthew Miura,279,A,CF,A,Active,138
829791,Miguel Hernández,279,A,SS,A,Active,138
835433,Nathan Shinn,279,A,P,A,Active,138
842711,Owen Henne,279,A,IF,A,Active,138
804979,Payton Graham,279,A,P,A,Active,138
689506,Robbie Knowles,279,A,P,D60,Injured 60-Day,138
815829,Ryan Mitchell,279,A,OF,A,Active,138
829741,Sebastian Dos Santos,279,A,SS,A,Active,138
825891,Trevor Condon,279,A,CF,A,Active,138
695579,Trevor Haskins,279,A,SS,A,Active,138
808081,Xavier Cruz,279,A,P,ILF,Injured - Full Season,138
810098,Yadiel Batista,279,A,P,A,Active,138
